outage_id,tower_id,region,location,outage_start,outage_end,duration_minutes,outage_type,affected_users,reported_by
f9676e40-2a88-4866-82cf-5647b50a9af3,TWR009,South,Location_47,2024-02-09T18:00:00,2024-02-09T21:17:00,197.0,Power,12.0,Auto
e9c10636-c87b-41c5-a1ce-803376c4b321,TWR087,West,Location_59,2024-01-14T08:00:00,2024-01-14T09:32:00,92.0,,85.0,User
8fbd078f-edc4-468b-9285-df1141ad4f1e,TWR065,Central,Location_32,2024-03-20T02:00:00,2024-03-20T06:49:00,289.0,Hardware,116.0,Auto
ebaf21d3-26cd-4148-8138-7986f2440a38,TWR031,East,Location_60,2024-01-24T19:00:00,2024-01-24T18:40:00,-20.0,Hardware,25.0,Other
c6270d05-ec6d-4b2d-bfc8-0f40ac27a921,TWR039,South,Location_93,2024-03-21T02:00:00,2024-03-21T03:22:00,82.0,Power,66.0,Auto
229fad84-9f5e-485a-810c-0c0309e268cd,TWR075,East,Location_89,2024-03-27T09:00:00,2024-03-27T10:33:00,93.0,Hardware,85.0,Admin
c1b0f777-b588-42b1-9192-a33e4241147a,TWR054,East,Location_15,2024-04-30T22:00:00,2024-04-30T22:39:00,39.0,Other,36.0,Other
ee2bc13b-7bb1-4c17-9cd1-056f3ebeadc2,TWR041,Central,Location_77,2024-03-22T22:00:00,2024-03-22T22:03:00,3.0,Hardware,136.0,Auto
017c705a-353c-4799-a278-a159081d8529,TWR080,East,Location_87,2024-08-10T14:00:00,2024-08-10T15:46:00,106.0,Hardware,109.0,Admin
5a6eb6ed-bace-4c41-9aa5-9e64e0293ed8,TWR100,South,Location_30,,2024-07-31T02:52:00,52.0,Unkown,117.0,Admin
f96be335-0f52-47cb-9387-a0417d1beb1b,TWR025,Central,Location_68,2024-03-09T21:00:00,2024-03-10T00:41:00,221.0,Hardware,185.0,User
2905df9c-bf5a-471f-a6a3-85febcd80676,TWR041,South,Location_85,2024-01-14T17:00:00,2024-01-14T16:55:00,-5.0,Hardware,150.0,Auto
e2740289-170a-423a-9d09-aae0ddadcc43,TWR039,South,Location_49,2024-07-27T10:00:00,2024-07-27T12:12:00,132.0,Hardware,120.0,Auto
54cbd484-b512-46e4-b735-066e6446efcc,TWR004,East,Location_54,2024-09-06T11:00:00,2024-09-06T10:44:00,-16.0,Software,116.0,Admin
71151b7e-d134-40e7-9294-a41a4a4051a5,TWR024,North,Location_40,2024-03-10T00:00:00,2024-03-10T00:11:00,11.0,Other,92.0,Admin
14e20add-0470-4618-84e3-12eb7ae18a35,TWR066,Central,Location_98,2024-05-30T20:00:00,2024-05-30T23:00:00,180.0,Other,137.0,Auto
073c1945-73da-466a-82ec-ad085eee6281,TWR070,South,Location_36,2024-08-09T03:00:00,2024-08-09T02:48:00,-12.0,Other,111.0,Other
aa6fb650-b0f5-444b-976e-288d3114f3c4,TWR063,North,Location_46,2024-04-29T02:00:00,2024-04-29T03:09:00,69.0,Hardware,104.0,Admin
4848e6fa-8b15-47c5-b19e-a83e90fd20dc,TWR033,West,Location_54,2024-05-07T11:00:00,2024-05-07T14:54:00,234.0,Unkown,129.0,Other
fe51347b-48bf-44d4-a311-87c20b2d7418,TWR014,Central,Location_5,2024-05-16T09:00:00,2024-05-16T11:09:00,129.0,Hardware,70.0,Other
630d71c2-5b69-4c1e-a3b2-3a8fd56b53e8,TWR050,Central,Location_84,2024-03-13T19:00:00,2024-03-13T19:56:00,56.0,Unkown,75.0,Auto
26d65478-5cf1-4e3a-9725-c7d82db45d66,TWR007,North,Mismatch_4,2024-12-05T18:00:00,,221.0,Software,139.0,Other
f7a14524-673d-4556-9a0e-7622bf2775fb,TWR049,North,Location_43,2024-11-17T02:00:00,2024-11-17T03:37:00,97.0,S0ftware,154.0,Auto
bd479e5b-fcde-41bd-9e15-16687916b084,TWR009,East,Location_5,2024-08-24T14:00:00,2024-08-24T14:35:00,35.0,Unkown,137.0,Other
88104e52-686f-4c93-8e85-3bb5ab401ec6,TWR097,East,Location_99,2024-01-23T22:00:00,2024-01-23T23:48:00,108.0,Other,117.0,Admin
e2f67a18-856b-4e7c-a738-2815b4669b94,TWR060,South,Location_33,2024-12-25T12:00:00,2024-12-25T16:57:00,297.0,Software,109.0,Admin
4cb1a7c6-817b-4c29-a3e0-639b0ada2481,TWR037,Central,Location_48,2024-12-02T04:00:00,2024-12-02T03:44:00,-16.0,Power,91.0,User
9fcfa9d1-6528-4bda-a809-dd7f53eda738,TWR002,South,Location_95,2024-09-19T15:00:00,2024-09-19T17:38:00,158.0,,34.0,Other
cc09931e-7784-474f-accf-90fc0d5dd2b3,TWR008,Central,Location_1,2024-05-25T19:00:00,2024-05-25T20:52:00,112.0,Power,92.0,Other
b7933c89-85ab-4f27-84ce-ab123fa65fbc,TWR066,West,Location_95,2024-10-15T23:00:00,2024-10-16T00:52:00,112.0,Software,63.0,Admin
527d17fd-bcd6-43ed-85b3-0a332108de37,TWR038,East,Location_44,,2024-04-19T09:32:00,32.0,Unkown,136.0,Auto
0c3eb504-e646-452a-bac4-fc3262f7add8,TWR021,West,Mismatch_4,2024-05-25T00:00:00,2024-05-25T03:10:00,190.0,,125.0,Admin
d0c42b42-7ca4-466e-8cdf-be204b66e313,TWR015,West,Location_1,2024-03-10T00:00:00,2024-03-10T01:12:00,72.0,Power,100.0,Admin
ce584a37-3e1e-4982-a2c5-65758ebca91a,TWR030,South,Location_86,2024-04-24T06:00:00,2024-04-24T10:57:00,297.0,Power,93.0,Auto
459bb723-575c-487f-9793-f240a5b0685c,TWR014,Central,Location_50,2024-03-18T05:00:00,2024-03-18T07:43:00,163.0,Power,154.0,User
3a814e3a-d22a-4454-984c-29ac906a1192,TWR013,Central,Location_40,2024-11-27T11:00:00,2024-11-27T14:30:00,210.0,Power,95.0,Other
